unmet,Latitude,Longitude
,52.351834,71.885278
,52.351834,71.885278
,52.362157,71.893897
,52.351834,71.885278
0,52.351834,71.885278
,52.362157,71.893897
,52.351834,71.885278
,52.351834,71.885278
,52.351834,71.885278
1,52.362157,71.893897
0,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
,52.351834,71.885278
,52.351834,71.885278
1,52.351834,71.885278
,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
0,52.351834,71.885278
,52.351834,71.885278
,52.351834,71.885278
,52.351834,71.885278
,52.351834,71.885278
,52.351834,71.885278
,52.351834,71.885278
1,52.351834,71.885278
0,52.351834,71.885278
0,52.454961,68.17926
1,52.454961,68.17926
0,52.454961,68.17926
,52.454961,68.17926
1,52.454961,68.17926
,52.454961,68.17926
,52.454961,68.17926
,52.454961,68.17926
,52.454961,68.17926
1,52.454961,68.17926
,52.454961,68.17926
,52.454961,68.17926
0,52.454961,68.17926
,52.454961,68.17926
0,52.454961,68.17926
0,52.454961,68.17926
0,52.454961,68.17926
1,52.454961,68.17926
,52.454961,68.17926
0,52.454961,68.17926
0,50.653267,72.387897
1,50.653267,72.387897
0,50.653267,72.387897
,50.653267,72.387897
,50.653267,72.387897
,50.653267,72.387897
0,50.653267,72.387897
,50.653267,72.387897
,50.653267,72.387897
,50.653267,72.387897
,50.653267,72.387897
1,50.653267,72.387897
,50.653267,72.387897
,50.653267,72.387897
,50.653267,72.387897
0,50.653267,72.387897
,50.653267,72.387897
,50.653267,72.387897
,50.653267,72.387897
,50.653267,72.387897
,51.456054,69.767546
1,51.456054,69.767546
,51.456054,69.767546
1,51.456054,69.767546
1,51.456054,69.767546
0,51.456054,69.767546
1,51.456054,69.767546
1,51.456054,69.767546
,51.456054,69.767546
1,51.456054,69.767546
,51.456054,69.767546
,51.456054,69.767546
,51.456054,69.767546
,51.456054,69.767546
1,51.456054,69.767546
1,51.456054,69.767546
1,51.456054,69.767546
1,51.456054,69.767546
,51.456054,69.767546
,51.456054,69.767546
,51.456054,69.767546
,51.456054,69.767546
,43.177937,76.782702
1,43.177937,76.782702
0,43.177937,76.782702
,43.177937,76.782702
1,43.177937,76.782702
,43.177937,76.782702
1,43.177937,76.782702
0,43.177937,76.782702
,43.177937,76.782702
1,43.177937,76.782702
0,43.177937,76.782702
,43.177937,76.782702
1,43.177937,76.782702
1,43.177937,76.782702
1,43.177937,76.782702
0,43.177937,76.782702
,43.177937,76.782702
,43.177937,76.782702
1,43.177937,76.782702
1,43.177937,76.782702
,43.177937,76.782702
,51.820495,68.363693
0,51.82229,68.365238
,51.820495,68.363693
,51.820495,68.363693
0,51.820495,68.363693
,51.834521,68.372778
,51.820495,68.363693
,51.820495,68.363693
1,51.820495,68.363693
,51.82229,68.365238
,51.808202,68.363406
0,51.820495,68.363693
0,51.808202,68.363406
0,51.820495,68.363693
0,51.815327,68.367507
1,51.820495,68.363693
,51.82229,68.365238
0,51.820495,68.363693
0,51.808076,68.334836
,51.820495,68.363693
,52.638039,70.422331
